date,close
2014-10-01,108.882014-10-02,108.42014-10-03,109.74
2014-10-04,109.4166666
2014-10-05,109.09333332014-10-06,108.772014-10-07,108.012014-10-08,108.092014-10-09,107.822014-10-10,107.66
2014-10-11,107.3933333
2014-10-12,107.12666662014-10-13,106.862014-10-14,107.032014-10-15,105.892014-10-16,106.312014-10-17,106.9
2014-10-18,106.9333333
2014-10-19,106.9666666
2014-10-20,106.91
2014-10-21,106.98
2014-10-22,107.14
2014-10-23,108.24
2014-10-24,108.1
2014-10-25,107.9866666
2014-10-26,107.8733333
2014-10-27,107.76
2014-10-28,108.13
2014-10-29,108.88
2014-10-30,109.18
2014-10-31,112.33
2014-11-01,112.8933333
2014-11-02,113.45666666
2014-11-03,114.02
2014-11-04,113.59
2014-11-05,114.65
2014-11-06,115.16
2014-11-07,114.57
2014-11-08,114.6566666
2014-11-09,114.7433333
2014-11-10,114.83
2014-11-11,115.77
2014-11-12,115.46
2014-11-13,115.74
2014-11-14,116.27
2014-11-15,116.3700001
2014-11-16,116.4700001
2014-11-17,116.572014-11-18,116.822014-11-19,117.952014-11-20,118.212014-11-21,117.75
2014-11-22,117.9166666
2014-11-23,118.08333332014-11-24,118.252014-11-25,117.952014-11-26,117.722014-11-27,117.72014-11-28,118.66
